DEPT,TOC
-239.0,
-231.16816816816845,
-223.3363363363369,
-215.50450450450444,
-207.6726726726729,0.0
-199.84084084084134,0.0
-192.00900900900888,8.947754586381112
-184.17717717717733,9.494615544765452
-176.34534534534578,1.102139742192979
-168.51351351351332,0.0
-160.68168168168177,0.0
-152.84984984985022,0.0
-145.01801801801867,0.0
-137.1861861861862,0.0
-129.35435435435465,0.0
-121.5225225225231,0.0
-113.69069069069064,0.0
-105.8588588588591,0.0
-98.02702702702754,0.0
-90.19519519519508,0.0
-82.36336336336353,0.0
-74.53153153153198,0.0
-66.69969969969952,0.0
-58.86786786786797,0.0
-51.03603603603642,0.0
-43.20420420420487,0.0
-35.37237237237241,0.0
-27.54054054054086,0.0
-19.70870870870931,0.0
-11.87687687687685,0.0
-4.045045045045299,0.0
3.7867867867862515,0.0
11.618618618618711,0.0
19.450450450450262,0.0
27.282282282281813,0.0
35.11411411411427,0.0
42.94594594594582,0.0
50.777777777777374,0.0
58.609609609609834,0.0
66.44144144144138,0.0
74.27327327327293,0.0
82.10510510510449,0.0
89.93693693693695,0.0
97.7687687687685,8.38022302854065
105.60060060060005,10.094830391527102
113.4324324324325,9.96838567712621
121.26426426426406,9.439751372783379
129.0960960960956,8.866546902819083
136.92792792792807,8.798396458292356
144.75975975975962,9.20395780062097
152.59159159159117,9.619433107842186
160.42342342342363,9.856754388104138
168.25525525525518,10.028024919753152
176.08708708708673,10.20809716606066
183.91891891891828,10.314157465378507
191.75075075075074,10.28581654223068
199.5825825825823,10.147453052792244
207.41441441441384,9.920896189156878
215.2462462462463,9.66833668580613
223.07807807807785,9.480817649749286
230.9099099099094,9.427332806515144
238.74174174174186,9.47096719477321
246.5735735735734,9.477831594261518
254.40540540540496,9.387453585462422
262.2372372372374,9.248361131027336
270.069069069069,9.149105478917935
277.9009009009005,9.066595241981158
285.7327327327321,8.877456979759298
293.56456456456453,8.668770717571618
301.3963963963961,8.570268731400697
309.22822822822764,8.563174804102815
317.0600600600601,8.619431444014294
324.89189189189165,8.674945147193007
332.7237237237232,8.680341414878445
340.55555555555566,8.636187282193145
348.3873873873872,8.59538475752154
356.21921921921876,8.580079950516598
364.0510510510512,8.557515041160977
371.88288288288277,8.58424222739367
379.7147147147143,8.712579242796973
387.5465465465468,8.784584876882422
395.37837837837833,8.669961028005794
403.2102102102099,8.463700260085945
411.04204204204143,8.30774343749432
418.8738738738739,8.215154100522835
426.70570570570544,8.146492218340633
434.537537537537,8.074738047969202
442.36936936936945,7.996810274483499
450.201201201201,7.9174829389565415
458.03303303303255,7.840118137576541
465.864864864865,7.770231602554635
473.69669669669656,7.695999724478871
481.5285285285281,7.596187069768443
489.3603603603606,7.443425554131954
497.1921921921921,7.260710836093049
505.0240240240237,7.126776628860526
512.8558558558552,7.107336289006583
520.6876876876877,7.191698428013006
528.5195195195192,7.290750468044664
536.3513513513508,7.389776047158586
544.1831831831832,7.547020415608693
552.0150150150148,7.717645229749154
559.8468468468463,7.83493746224138
567.6786786786788,7.912415149066078
575.5105105105104,7.933033488524583
583.3423423423419,7.778362145716693
591.1741741741744,7.470817409984302
599.0060060060059,7.119021848577279
606.8378378378375,6.825374038689729
614.669669669669,6.637265901707358
622.5015015015015,6.52006313520621
630.333333333333,6.480001774308458
638.1651651651646,6.516471904815128
645.996996996997,6.601895944715541
653.8288288288286,6.690110534533305
661.6606606606601,6.7861769761335005
669.4924924924926,6.904615768574756
677.3243243243242,7.025002708046431
685.1561561561557,7.0837912306600375
692.9879879879882,7.0457326437989956
700.8198198198197,6.968278339157191
708.6516516516513,6.85338249108436
716.4834834834837,6.695536713987344
724.3153153153153,6.578135108444975
732.1471471471468,6.599974783704994
739.9789789789784,6.73480057558645
747.8108108108108,6.871583644490279
755.6426426426424,6.941317177779161
763.4744744744739,6.926547185524246
771.3063063063064,6.858394070137984
779.138138138138,6.75496933864562
786.9699699699695,6.625066284137292
794.801801801802,6.492043217401431
802.6336336336335,6.404846272783677
810.4654654654651,6.334889219316089
818.2972972972975,6.244486988509986
826.1291291291291,6.126667638994243
833.9609609609606,5.99359594928116
841.7927927927922,5.8567568840813395
849.6246246246246,5.699367922046414
857.4564564564562,5.527735735870603
865.2882882882877,5.426994536055196
873.1201201201202,5.421618746493607
880.9519519519517,5.373275071643585
888.7837837837833,5.255134330292074
896.6156156156158,5.160961312231668
904.4474474474473,5.118855576667781
912.2792792792789,5.123554046561243
920.1111111111113,5.200435800162205
927.9429429429429,5.298841363581566
935.7747747747744,5.3256058666187895
943.606606606606,5.2037398965703305
951.4384384384384,4.938708799053893
959.27027027027,4.707127240616629
967.1021021021015,4.65849075802241
974.933933933934,4.759750795094642
982.7657657657655,4.860810613892786
990.5975975975971,4.9255409916653505
998.4294294294295,4.97908110145916
1006.2612612612611,5.095363997604169
1014.0930930930926,5.249749303697869
1021.9249249249251,5.322016236704238
1029.7567567567567,5.300632598619463
1037.5885885885882,5.240243847002516
1045.4204204204207,5.177660237620241
1053.2522522522522,5.153851479518326
1061.0840840840838,5.189491507165088
1068.9159159159153,5.3697344030960075
1076.7477477477478,5.634588381296241
1084.5795795795793,5.805840042988306
1092.4114114114109,5.627846511083563
1100.2432432432433,4.961113177772607
1108.075075075075,4.267905780746142
1115.9069069069064,3.954967679555807
1123.738738738739,3.8870021134505577
1131.5705705705705,3.7625775443813643
1139.402402402402,3.584032510686373
1147.2342342342345,3.5433683587144658
1155.066066066066,3.7120206927336006
1162.8978978978976,4.033506169703102
1170.7297297297291,4.389233082393609
1178.5615615615616,4.659249878931532
1186.3933933933931,4.86184889251554
1194.2252252252247,5.017567181456339
1202.0570570570571,4.901379735856386
1209.8888888888887,4.404451854983588
1217.7207207207202,3.836405878224901
1225.5525525525527,3.5797871176857274
1233.3843843843842,3.6004610352248854
1241.2162162162158,3.6642795079048263
1249.0480480480483,3.6797406754672854
1256.8798798798798,3.6841561465571875
1264.7117117117114,3.7158361888198916
1272.543543543543,3.7960888231744385
1280.3753753753754,3.93393894088311
1288.207207207207,4.174967695979351
1296.0390390390385,4.531979436800103
1303.870870870871,4.830017166448427
1311.7027027027025,4.851337002720156
1319.534534534534,4.639673918782715
1327.3663663663665,4.357738348391889
1335.198198198198,4.2006497861769025
1343.0300300300296,4.276910622599629
1350.861861861862,4.494462885974667
1358.6936936936936,4.813554239432864
1366.5255255255252,5.118875267066444
1374.3573573573576,5.333760535242398
1382.1891891891892,5.363095713074918
1390.0210210210207,5.047645178847852
1397.8528528528523,4.4153537871763175
1405.6846846846847,3.798641256688952
1413.5165165165163,3.539941574953228
1421.3483483483478,3.5606048863933193
1429.1801801801803,3.633044215975929
1437.0120120120118,3.5440558013555172
1444.8438438438434,3.4337292219374937
1452.6756756756758,3.588826229438788
1460.5075075075074,4.058959293116488
1468.339339339339,4.681769043975683
1476.1711711711714,5.110624080256514
1484.003003003003,5.1394967931425635
1491.8348348348345,4.917420507009012
1499.666666666666,4.706256199058178
1507.4984984984985,4.631979861214336
1515.33033033033,4.624175833637161
1523.1621621621616,4.6571714152097075
1530.993993993994,4.727123448721901
1538.8258258258256,4.786575738509977
1546.6576576576572,4.769725962878463
1554.4894894894896,4.61275001171211
1562.3213213213212,4.407869445119533
1570.1531531531527,4.248509287134806
1577.9849849849852,4.255326300546391
1585.8168168168168,4.378278960497009
1593.6486486486483,4.512451832660354
1601.4804804804799,4.6581597512818576
1609.3123123123123,4.818204533672111
1617.1441441441439,5.022850805827803
1624.9759759759754,5.2374155170626295
1632.8078078078079,5.375245634896279
1640.6396396396394,5.300811657892053
1648.471471471471,4.984147460406901
1656.3033033033034,4.744697870617455
1664.135135135135,4.707408108441421
1671.9669669669665,4.684526848307907
1679.798798798799,4.499557491225191
1687.6306306306305,4.341045744881826
1695.462462462462,4.300186479345638
1703.2942942942946,4.02998655039209
1711.126126126126,3.5150853830299504
1718.9579579579577,3.121422802764008
1726.7897897897892,3.0374174230667217
1734.6216216216217,3.1128085718553056
1742.4534534534532,3.189384890996374
1750.2852852852848,3.3471455204823797
1758.1171171171172,3.698724543096615
1765.9489489489488,4.164039896712666
1773.7807807807803,4.5898882959136955
1781.6126126126128,4.777143386584075
1789.4444444444443,4.577443810753896
1797.276276276276,3.9740194775095103
1805.1081081081084,3.3657958315426804
1812.93993993994,3.250712298128968
1820.7717717717715,3.6583667489059892
1828.603603603603,4.214558656318501
1836.4354354354355,4.599451696745421
1844.267267267267,4.735242835785731
1852.0990990990986,4.557549731038746
1859.930930930931,4.094735927735609
1867.7627627627626,3.54292330690588
1875.5945945945941,3.1307702159606716
1883.4264264264266,2.866922884393968
1891.2582582582581,2.710444923817267
1899.0900900900897,2.7363351217182603
1906.9219219219221,2.9782237324817
1914.7537537537537,3.2863235993774533
1922.5855855855852,3.476686068852544
1930.4174174174168,3.5261653502138333
1938.2492492492493,3.5280334881780995
1946.0810810810808,3.659973871072906
1953.9129129129124,3.9878751485457236
1961.7447447447448,4.276835050844827
1969.5765765765764,4.246138667486822
1977.408408408408,3.9991942145111277
1985.2402402402404,3.879323089586901
1993.072072072072,4.038131218509798
2000.9039039039035,4.301003905201762
2008.735735735736,4.476098429245263
2016.5675675675675,4.539340208015526
2024.399399399399,4.526042087494387
2032.2312312312315,4.54754720796579
2040.063063063063,4.5548037091779445
2047.8948948948946,4.378047867200531
2055.726726726726,3.946663799490252
2063.5585585585586,3.5654881848407127
2071.39039039039,3.5608011853599795
